SENTENCETEXT	LABEL
"""अब गाह्रो छैन प्रदूषण नाप्न भारतीय पूर्व प्रधानमन्त्रीलाई उपप्रधानमन्त्री निधीले किन भेटे"""	1
"""लाठी लिएका हजारौँ संख्यामा रहेका थारुहरुले र्याली प्रर्दशन गरी राजापुर बजारको दक्षिण चौकमा कोणसभा गरेका थिए"""	-1
"""आफूहरुले आफनो स्वाभिमानको लडाइ लडेको उनको भनाई थियो"""	1
"""प्रदर्शनकारीले प्रहरी दमन बन्द गर, कैलाली कञ्चनपुर छाड्दैनौँ , प्रतिगमनकारी होसियार जस्ता नारा लगाएका थिए"""	-1
"""भारतको अघोषित नाकाबन्दीका कारण पेट्रोलियम पदार्थको अभाव भएपछि सर्वसाधारणले जोखिमपूर्ण यात्रा गर्नुपर्ने बाध्यता बढेको छ"""	-1
"""पेट्रोलियम पदार्थ पाउन छाडेपछि सिन्धुपाल्चोक जिल्लाको बाह्रविसे, चौतारा, मेलम्चीका सर्वसाधारणले निकै कष्ट भोग्नु परेका छन्"""	-1
"""बसभित्र खोँचाखोँच यात्रु हुन्छन् कतिपय त निस्सासिएर बेहोससमेत हुने गर्छन्"""	-1
"""विद्यालय टाढा भएकाले बसले समेत विद्यार्थीलाई रोक्दैन, हिँडेर जाँदा विद्यालय समयमा पुग्न नसकिने विद्यार्थीले गुनासो पोखे"""	-1
"""प्रमुख सत्तारुढ दल नेपाली काँग्रेसको नेतृत्वमा राष्ट्रिय सहमतिको सरकार गठन हुनुपर्ने सो पार्टीका अधिकांश नेताहरुको अभिमत रहेको छ"""	1
"""यद्यपि काँग्रेस नेतृत्वमा सहमतिको सरकार गठन गर्ने विषयमा केन्द्रीय समिति एकमत भए पनि नेतृत्व कसले गर्ने भन्नेबारे टुङ्गोमा पुगेको छैन"""	0
"""राष्ट्रपति डा रामवरण यादवले एक साताभित्र सहमतिको सरकार गठनका लागि दिनुभएको समयावधि आज समाप्त हुँदैछ"""	0
"""भोलि बस्ने व्यवस्थापिका– संसद्को बैठकमा सहमति नभए बहुमतीय आधारमा सरकार गठन गर्ने प्रक्रिया सुरु हुनेछ"""	0
"""तपाईंको रुचि अनुसारको विधा रोज्नुहोस्"""	1
"""स्पष्टीकरण चित्तबुझ्दो नभए उनीहरुमाथि थप कारवाही गर्ने मन्त्रालयको तयारी रहेको जानकारी दिए"""	-1
"""देशको समसामयिक राजनीतिक प्रसंगमा उनले प्रमुख प्रतिपक्षी दल नेकपा एमालेले संघीयता विरोधी आन्दोलन गरिरहेको आरोप लगाए"""	-1
"""उनले एमाले र मधेशवादी दलहरु मिलेर संविधान संशोधनको साझा प्रस्ताव ल्याए सरकारलाई मान्य हुने बताए"""	1
"""तर सो प्रस्तावमाथि एमालेले बखेडा गरेकोले सो कार्य बन्द गर्न उनले आग्रह गरे"""	1
"""संघर्ष समितिले आइतबार पनि जिल्ला बन्दको घोषणा गरेको छ"""	-1
"""सोमबार जिल्लामा विशाल प्रदर्शन हुने कार्यक्रम तय भएको छ"""	-1
"""उक्त सभामा बीस हजार भन्दा बढीको जनसहभागिता गराउने गरी तयारीमा लागेको संघर्ष समितिले जनाएको छ"""	-1
"""पुरुषतर्फ नेपाल प्रहरी र एपिएफ आमनेसामने हुनेछन्"""	0
"""बिहीबार महिलातर्फको दोश्रो सेमीफाइनलमा न्यू डायमण्ड एकेडेमी र पश्चिमाञ्चल तथा पुरुषतर्फ आर्मी र पश्चिमाञ्चलबीच प्रतिष्पर्धा हुनेछ"""	0
"""फुटसल खेल मर्यादित, व्यवस्थित र विकासका लागि भन्दै कास्की जिल्ला फुटसल संघ गठन गरिएको छ"""	1
"""प्रतियोगिता फागुन १३ सम्म हुने आयोजकले जनाएको छ"""	0
"""सहभागिताका लागि प्रत्येक टिमले पाँच हजार रुपैयाँ सहभागिता शुल्क तिर्नुपर्नेछ"""	0
"""१० वटा टिम सहभागी प्रतियोगितामा उपबिजेता बनेको म्याग्दीको टोलीले ट्रफी र प्रमाणपत्र प्राप्त गरेको छ"""	1
"""राष्ट्रिय खेलकुद परिषद्की सदस्य यामकुमारी गुरुङले पुरस्कार वितरण गर्नुभएको थियो"""	1
"""गोल गरेपछि उनको खुसी मनाउने तरिका प्रायः उस्तै हुन्छ"""	1
"""तर, आइतबार बिहान सेल्टा भिगोविरूद्ध पहिलो गोल गरेपछि मेसी अर्को रुपमा देखिए"""	1
"""मेसीले २४ मिनेटमा सेल्टाको डिफेन्स तोड्दै पहिलो गोल गरेका थिए"""	1
"""उनको त्यो गोल विश्वस्तरिय थियो"""	1
"""उनले मैदानको मध्य भागबाट बललाई ‘ड्रिबल’ गर्दै सेल्टाको डिबक्स नजिकबाट देब्रे खुट्टाले गोल गरेका थिए"""	1
"""यसपछि खुसी मनाएका मेसीले रंगशालाको भिआइपी लाउन्जतर्फ औला देखाएर फोनको संकेत गरे"""	1
"""अझ, उनले गोलका लागि दुई वटा मौका पनि जुर्याइदिएका थिए"""	1
"""भुईंचालोका कारण परिवारका सदस्य गुमाएका नेपाली कामदारलाई स्वदेश फर्कन सरकारले निःशुल्क हवाई टिकटको व्यवस्था गरेको छ"""	1
"""बाख्राको पाठो जस्तो शिशु जन्मिएपछि हेर्ने मान्छे पनि ठूलो भिड लागेको थियो"""	1
"""बाख्राको पाठो मान्छेले जन्माएपछि सामाजिक सञ्जालमा पनि त्यो फोटो भाइरल भएको थियो"""	0
"""उहाँलाई विमानबाट एम्बुलेन्समा सार्न ४० मिनेट लागेको थियो"""	-1
"""राष्ट्रिय मानव अधिकार आयोग तथा कानुन व्यवसायीको हैसियतमा कार्यरत छन्"""	0
"""प्रस्तुत छ जनपुकार डट कमको लागि किरण अधिकारीले गरेको कुराकानी"""	0
"""तर पनि कुनै त्यस्ता व्यक्ति चर्चामा आयो भनेर भनेको पनि हुन सक्छ"""	1
"""तालिम लिएर आफु भन्दा सिनियर कलाकारसँग बुझेर अनि सिकेर मात्र आउनुस भन्छु"""	1
"""अहिलेसम्म कुल आठ लाख रुपैयाँ संकलन भएको र अझै सात लाख रकम जोहो गर्न बाँकी रहेको अभियानले जनाएको छ"""	0
"""सो अवसरमा पुस्तकालयले कविता प्रतियोगितासमेत आयोजना गरेको थियो"""	1
"""कार्यक्रमको अध्यक्षता भैरव स्मति पुस्तकालयका अध्यक्ष बद्रीप्रसाद अर्यालले गरेका थिए"""	0
"""पुस्तकालयको आजीवन सदस्य बन्न १ हजार रुपैयाँ तिरेर जो कोही पनि बन्न सकिने प्रावधान रहेको छ"""	0
"""हालसम्म आजीवन सदस्यको संख्या ७३ पुगेको अर्यालले जानकारी दिए"""	0
"""समयमै बजेटको अख्तियारी पठाउनुका साथै खरीद ऐन परिमार्जन गरेर प्रक्रिया सहज बनाइयो"""	1
"""तर, उनीहरू प्राथमिक स्वास्थ्य केन्द्र वा जिल्ला अस्पतालहरूमा काम गर्न नजाँदा बिरामीले डाक्टरको सेवा नपाउने अवस्था छ"""	-1
"""तोकिएको ठाउँमा कार्यालय समयमा खट्ने गरी जनशक्ति परिचालनका लागि अतिरिक्त प्रोत्साहन भत्ताको नीति लागू गरिएको छ"""	1
"""अतिरिक्त समय काम गर्ने कर्मचारी, चिकित्सक, स्वास्थ्यकर्मी र नर्सले प्रोत्साहन भत्ता पाउनेछन्"""	1
"""मन्त्रालयले वार्षिक करीब ३५० विशेषज्ञ चिकित्सक उत्पादन गर्ने र उनीहरूमार्फत विशेषज्ञ स्वास्थ्य सेवा दिने तयारी शुरू गरेको छ"""	1
"""देशभरका प्राथमिक स्वास्थ्य केन्द्र र अस्पतालहरूमा मन्त्रालयले लोक सेवा उत्तीर्ण आठौं तहका मेडिकल अधिकृतलाई पदस्थापन गर्ने प्रक्रिया समेत अघि बढाएको छ"""	0
"""शहरी क्षेत्रमा स्वास्थ्य प्रवर्द्धनका कार्यक्रम सञ्चालनका लागि क्षमतावान स्वास्थ्य संरचना बनाउन मन्त्रालयले अर्बान हेल्थ प्रमोशन सेन्टर को अवधारणा ल्याएको छ"""	1
"""पाठेघरको मुख र स्तन क्यान्सरको निःशुल्क परीक्षणका लागि आउँदो ७ चैतमा नुवाकोटबाट कार्यक्रम शुरू गरेर त्यसलाई देशभर विस्तार गर्ने तयारी पनि छ"""	1
